"Keyword","Currency","Avg. monthly searches","Three month change","YoY change","Competition","Competition (indexed value)","Top of page bid (low range)","Top of page bid (high range)","cluster","confidence"
"taie d oreiller personnalisé avec photo","EUR","50","0%","0%","High","100","0.003555356","0.010474379","physical_products","medium"
"cadeau noce de coton pour homme","EUR","500","-90%","0%","High","100","0.002201152","0.006180307","life_events","medium"
"cadre photo personnalisé prenom","EUR","50","0%","-90%","High","100","0.003634574","0.010459709","physical_products","medium"
"photo toile personnalisé pas cher","EUR","50","900%","0%","High","100","0.008371679","0.028683107","physical_products","medium"
"cadeau de noel avec photo","EUR","50","0%","0%","High","97","0.005938415","0.017678","gift_personalized","high"
"personnalisation objet photo","EUR","5000","0%","0%","High","100","0.005351615","0.013401533","physical_products","medium"
"cadre aimanté personnalisé","EUR","50","0%","0%","High","100","0.006069467","0.012622393","physical_products","medium"
"cadeau marraine photo","EUR","50","0%","0%","High","100","0.003471248","0.012984579","gift_personalized","high"
"cadeau anniversaire mariage amis","EUR","50","0%","0%","High","100","0","0","gift_anniversary","high"
"objet à personnaliser avec photo","EUR","500","900%","0%","High","100","0.004770683","0.012818971","physical_products","medium"
"livre photo personnalisé fete des meres","EUR","50","0%","-100%","Unknown","","0","0","gift_mothers","high"
"cadre photo personnalisé coeur","EUR","50","0%","0%","High","100","0.004855769","0.013746114","physical_products","medium"
"coque xr personnalisé","EUR","50","0%","0%","High","100","0.003555682","0.009354243","physical_products","medium"
"idee cadeau noce de laine","EUR","500","0%","0%","High","100","0.001959586","0.007429213","life_events","medium"
"cadeau personnalisé photo pas cher","EUR","50","0%","0%","High","100","0.004809477","0.012815711","gift_personalized","high"
"cadeau a partir de photo","EUR","50","0%","0%","High","100","0.006761891","0.034880692","gift_personalized","high"
"livre de noel personnalisé avec photo","EUR","50","0%","-90%","High","100","0.006054797","0.025618381","gift_personalized","high"
"cadeau noel famille personnalisé","EUR","50","900%","0%","High","100","0.003043536","0.010349521","gift_personalized","high"
"tableau personnalisé anniversaire","EUR","50","0%","0%","High","100","0.003809962","0.010106651","gift_anniversary","medium"
"créer tee shirt personnalisé avec photo","EUR","50","0%","0%","High","100","0.005841593","0.023353985","physical_products","medium"
"idée cadeau 1 an de mariage homme","EUR","50","0%","0%","High","100","0","0","life_events","medium"
"cadeau anniversaire avec photo","EUR","50","0%","0%","High","100","0","0","gift_anniversary","high"
"cadeau noces de cristal","EUR","50","0%","0%","High","100","0","0","gift_anniversary","high"
"idée cadre photo personnalisé","EUR","50","0%","-90%","High","100","0.006515109","0.024713079","physical_products","medium"
"cadeau pour mamie et papy","EUR","50","900%","0%","High","100","0.00192177","0.005757159","gift_grandparents","high"
"boîte à tartine personnalisée avec photo","EUR","50","0%","0%","Unknown","","0","0","gift_personalized","high"
"photo en porte clé","EUR","5000","900%","0%","High","100","0.004247454","0.011230373","physical_products","medium"
"boule de noel personnalisée photobox","EUR","50","0%","0%","High","100","0.00270906","0.007139399","physical_products","medium"
"boule a neige de noel personnalisée","EUR","50","0%","0%","High","100","0.00450043","0.010834609","physical_products","medium"
"cadeau anniversaire de mariage pour son mari","EUR","50","0%","0%","High","100","0","0","gift_anniversary","high"
"idee cadeau arriere grand parent","EUR","50","900%","0%","High","100","0.00135453","0.00393156","gift_grandparents","high"
"cadeau photo bapteme","EUR","50","0%","0%","High","100","0","0","life_events","medium"
"smartbox anniversaire de mariage","EUR","50","-100%","-100%","Unknown","","0","0","gift_anniversary","high"
"plaques spotify personnalisée","EUR","500","900%","0%","High","100","0.005234581","0.01842454","physical_products","medium"
"cadeaux noces de bois","EUR","50","0%","0%","High","100","0.00288673","0.012725735","gift_anniversary","high"
"cadre photo gravure personnalisé","EUR","500","0%","-90%","High","100","0.005675333","0.018152656","physical_products","medium"
"cadeau original fete des mamies","EUR","50","?","0%","High","100","0","0","gift_other","medium"
"portrait personnalisé photo","EUR","50","0%","0%","High","100","0.006384709","0.016798126","gift_personalized","high"
"cadeau noël personnalisé pas cher","EUR","50","0%","-90%","High","100","0.002540192","0.008550979","gift_personalized","high"
"cadre geant personnalisé","EUR","50","0%","0%","High","100","0.007796289","0.015886956","physical_products","medium"
"poster photo personnalisé pas cher","EUR","50","0%","0%","High","100","0.004643217","0.022996037","physical_products","medium"
"quoi offrir a ses grands parents","EUR","50","900%","0%","High","100","0.00109862","0.006346241","gift_grandparents","high"
"cadre photo anniversaire personnalisé","EUR","50","-90%","0%","High","100","0.003966442","0.012778547","gift_anniversary","medium"
"cadre andy warhol personnalisé","EUR","50","0%","0%","High","100","0","0","physical_products","medium"
"cadeau cube photo","EUR","50","0%","0%","High","100","0.004834579","0.012119049","physical_products","medium"
"cadeau bapteme grand parents","EUR","500","0%","0%","High","82","0.001739862","0.007856925","gift_grandparents","high"
"idée cadeau cadre personnalisé","EUR","50","0%","0%","High","100","0.00414835","0.011985063","physical_products","medium"
"cadeau pour un anniversaire de mariage","EUR","5000","-90%","-90%","High","100","0.001986644","0.007493435","gift_anniversary","high"
"chandelle personnalisé photo","EUR","50","?","?","High","100","0","0","gift_personalized","high"
"cadeau d anniversaire mariage","EUR","50","0%","0%","High","100","0.002601806","0.010267369","gift_anniversary","high"
"cadeau fete des grand mere photo","EUR","50","-100%","-100%","Unknown","","0","0","gift_mothers","high"
"porte clé pour photo","EUR","500","0%","0%","High","100","0.001270096","0.007086913","physical_products","medium"
"cadeau noces de coton homme","EUR","500","-90%","0%","High","100","0.002201152","0.006180307","gift_anniversary","high"
"cadre personnalisé fete des meres","EUR","500","-100%","0%","Unknown","","0","0","gift_mothers","high"
"cadeau photo personnalisé pas cher","EUR","50","0%","0%","High","100","0.004809477","0.012815711","gift_personalized","high"
"cadeau pour premiere fete des meres","EUR","500","0%","0%","Low","0","0","0","tools_comparison","high"
"porte clé personnalisé rouleau","EUR","50","-100%","-100%","Unknown","","0","0","physical_products","medium"
"quoi offrir pour un anniversaire de mariage","EUR","500","0%","0%","High","100","0.001177838","0.012747251","gift_anniversary","high"
"pull noël famille personnalisé","EUR","50","0%","-90%","High","100","0.003252502","0.011049443","gift_personalized","high"
"cadeau fete des grand mere avec photo","EUR","50","0%","0%","High","100","0","0","gift_mothers","high"
"porte clé photo spotify","EUR","50","?","0%","High","100","0","0","physical_products","medium"
"cadeau pour la meilleure des mamans","EUR","50","0%","0%","High","100","0.004541506","0.010247157","gift_other","medium"
"idée cadeau de noel personnalisé","EUR","50","900%","0%","High","100","0.002770348","0.009917571","gift_personalized","high"
"objets personnalisés avec photos","EUR","50","0%","0%","High","100","0.003690646","0.012001037","gift_personalized","high"
"boule de noel mon premier noel personnalisée","EUR","50","0%","0%","High","100","0.002532368","0.009990921","physical_products","medium"
"cadeau d anniversaire de mariage pour homme","EUR","50","0%","0%","High","100","0.001967736","0.004919013","gift_anniversary","high"
"idée cadeau pour ma maman","EUR","50","900%","0%","High","100","0.001693244","0.007066701","gift_mothers","high"
"tirelire personnalisée photo","EUR","50","0%","0%","High","100","0.00314427","0.008870459","gift_personalized","high"
"cadeau photo amoureux","EUR","50","0%","0%","High","100","0.003294556","0.009022701","gift_personalized","high"
"cadeau noce de muguet","EUR","500","0%","0%","High","100","0.001220544","0.003988936","life_events","medium"
"noce coton cadeau","EUR","50","0%","0%","High","100","0.001937092","0.004415018","life_events","medium"
"photo personnalisé pas cher","EUR","50","0%","0%","High","100","0.004375572","0.016003664","gift_personalized","high"
"porte clés homme personnalisé photo","EUR","50","0%","0%","High","100","0.003881682","0.006682999","physical_products","medium"
"cadeau noel personnalisé pas cher","EUR","50","0%","-90%","High","100","0.002540192","0.008550979","gift_personalized","high"
"cadeau noce de plomb","EUR","500","0%","0%","High","100","0.001582078","0.004530096","life_events","medium"
"personnaliser une photo en ligne","EUR","50","0%","0%","High","100","0.006449257","0.016884842","tools_comparison","high"
