"Keyword","Currency","Avg. monthly searches","Three month change","YoY change","Competition","Competition (indexed value)","Top of page bid (low range)","Top of page bid (high range)","cluster","confidence"
"cadeau pour noce de laine","EUR","500","0%","0%","High","100","0.001714434","0.005841593","life_events","medium"
"cadeau pour noce de perle","EUR","50","0%","0%","High","100","0","0","life_events","medium"
"cadeau pour noce de porcelaine","EUR","500","-90%","0%","High","100","0.001966106","0.005913965","life_events","medium"
"cadeau pour noces de bois","EUR","500","0%","0%","High","100","0.002116718","0.009112025","gift_anniversary","high"
"cadeau pour noces de cristal","EUR","50","0%","?","High","100","0","0","gift_anniversary","high"
"cadeau pour noces de froment","EUR","5000","0%","0%","High","99","0.001962194","0.005445177","gift_anniversary","high"
"cadeau pour notre maman","EUR","50","0%","0%","High","98","0.002818596","0.006806879","gift_mothers","high"
"cadeau pour nouveau grand parents","EUR","50","0%","-90%","High","100","0.001780938","0.004992037","gift_grandparents","high"
"cadeau pour noël pour les mamans","EUR","50","0%","0%","High","100","0.001633586","0.006101415","gift_other","medium"
"cadeau pour papi mamie","EUR","50","0%","0%","High","100","0.001596748","0.005006055","gift_grandparents","high"
"cadeau pour papy mamie","EUR","50","0%","-90%","High","100","0.001985014","0.005421705","gift_grandparents","high"
"cadeau pour sa maman idee","EUR","50","0%","0%","High","100","0.002751114","0.008958479","gift_mothers","high"
"cadeau pour super maman","EUR","50","0%","0%","High","100","0.001935136","0.011648957","gift_mothers","high"
"cadeau pour ta maman","EUR","50","0%","0%","High","100","0","0","gift_mothers","high"
"cadeau pour un 25e anniversaire de mariage","EUR","50","?","?","High","100","0","0","gift_anniversary","high"
"cadeau pour une premiere fete des meres","EUR","50","0%","0%","Unknown","","0","0","tools_comparison","high"
"cadeau pour une super maman","EUR","50","0%","0%","High","100","0.001947198","0.006158465","gift_mothers","high"
"cadeau premier anniversaire mariage","EUR","50","-100%","0%","Unknown","","0","0","gift_anniversary","high"
"cadeau premiere annee de mariage","EUR","50","0%","0%","High","100","0","0","tools_comparison","high"
"cadeau saint valentin avec photo","EUR","50","0%","-100%","Unknown","","0","0","gift_personalized","high"
"cadeau saint valentin homme photo","EUR","50","0%","-100%","Unknown","","0","0","gift_personalized","high"
"cadeau saint valentin plaque spotify","EUR","50","0%","0%","Unknown","","0","0","physical_products","medium"
"cadeau utile grand parent","EUR","50","0%","-90%","High","100","0.000894544","0.002271242","gift_grandparents","high"
"cadeau à offrir à ses grands parents","EUR","50","0%","0%","High","100","0.00078729","0.004263754","gift_grandparents","high"
"cadeaux anniversaires mariage","EUR","5000","0%","0%","High","100","0.002073034","0.007570045","life_events","medium"
"cadeaux avec photos perso","EUR","50","0%","-100%","Unknown","","0","0","gift_personalized","high"
"cadeaux d anniversaire de mariage parents","EUR","50","-100%","-100%","Unknown","","0","0","gift_anniversary","high"
"cadeaux de noces","EUR","50","0%","0%","High","100","0.002659834","0.008344621","gift_anniversary","high"
"cadeaux grands parents noël","EUR","500","900%","0%","High","100","0.0016137","0.005760745","gift_grandparents","high"
"cadeaux noces d étain","EUR","50","0%","0%","High","100","0","0","gift_anniversary","high"
"cadeaux noces de perle","EUR","50","0%","0%","High","100","0","0","gift_anniversary","high"
"cadeaux noel pas cher personnalisé","EUR","50","0%","0%","High","100","0.002638644","0.011760775","gift_personalized","high"
"cadeaux noel personnalisés","EUR","500","0%","0%","High","100","0.003379642","0.010375275","gift_personalized","high"
"cadeaux noël parents","EUR","500","900%","0%","High","100","0.002108242","0.009592875","gift_other","medium"
"cadeaux originaux grands parents","EUR","50","900%","0%","High","100","0.00152405","0.006113803","gift_grandparents","high"
"cadeaux papi mamie noel","EUR","50","0%","0%","High","100","0","0","gift_grandparents","high"
"cadeaux personnalisés pour noel","EUR","500","0%","0%","High","100","0.002632776","0.008883173","gift_personalized","high"
"cadeaux pour des grands parents","EUR","5000","900%","0%","High","100","0.00143929","0.005196765","gift_grandparents","high"
"cadeaux pour noce d or","EUR","500","-90%","0%","High","100","0.001974582","0.005125045","life_events","medium"
"cadeaux pour un anniversaire de mariage","EUR","5000","-90%","-90%","High","100","0.001986644","0.007493435","gift_anniversary","high"
"cadre bapteme personnalisé","EUR","50","0%","0%","High","100","0","0","physical_products","medium"
"cadre famille personnalisée","EUR","50","0%","0%","High","100","0","0","physical_products","medium"
"cadre personnalisable couple","EUR","50","0%","0%","High","100","0.005316733","0.009974621","physical_products","medium"
"cadre personnalisé bois","EUR","50","0%","0%","High","100","0.005683809","0.013968446","physical_products","medium"
"cadre personnalisé en bois","EUR","50","0%","0%","High","100","0.003429194","0.009205261","physical_products","medium"
"cadre personnalisé famille pas cher","EUR","50","0%","0%","High","100","0.004119662","0.009446501","physical_products","medium"
"cadre personnalisé famille personnage","EUR","50","0%","0%","High","100","0.003329764","0.011435101","physical_products","medium"
"cadre personnalisé noel","EUR","50","0%","0%","High","100","0.003889832","0.014787032","physical_products","medium"
"cadre photo avec gravure","EUR","50","0%","0%","High","100","0.006571833","0.024028153","physical_products","medium"
"cadre photo avec message","EUR","50","0%","0%","High","100","0.009970709","0.022165716","physical_products","medium"
"cadre photo bapteme personnalisé","EUR","50","0%","0%","High","100","0","0","physical_products","medium"
"cadre photo bd personnalisable","EUR","50","?","?","High","100","0","0","physical_products","medium"
"cadre photo bois gravé","EUR","50","0%","0%","High","100","0.004197902","0.01773994","physical_products","medium"
"cadre photo cadeau anniversaire","EUR","50","0%","0%","High","100","0","0","gift_anniversary","high"
"cadre photo de naissance","EUR","50","0%","0%","High","86","0.003115582","0.018488762","physical_products","medium"
"cadre photo de naissance personnalisé","EUR","50","0%","?","High","100","0","0","physical_products","medium"
"cadre photo gravure","EUR","50","0%","0%","High","100","0.006376885","0.011728501","physical_products","medium"
"cadre photo gravé lumineux","EUR","50","0%","0%","High","100","0.002624626","0.007889199","physical_products","medium"
"cadre photo gravé mariage","EUR","50","0%","?","High","75","0","0","physical_products","medium"
"cadre photo metal personnalisé","EUR","50","0%","0%","High","100","0.004889347","0.027247729","physical_products","medium"
"cadre photo original famille","EUR","500","0%","0%","High","100","0.003775406","0.016935372","physical_products","medium"
"cadre photo personnalisé amazon","EUR","50","900%","0%","High","99","0.002161706","0.012193703","physical_products","medium"
"cadre photo personnalisé en ligne","EUR","50","0%","0%","High","100","0.004987147","0.029550593","tools_comparison","high"
"cadre photo personnalisé noel","EUR","50","0%","-90%","High","100","0.005863109","0.017743852","physical_products","medium"
"cadre photo personnalisé parrain marraine","EUR","50","0%","0%","High","100","0.005631649","0.019519248","physical_products","medium"
"cadre photo personnalisé pour anniversaire","EUR","50","0%","0%","High","100","0","0","gift_anniversary","medium"
"cadre photo personnalisé pour mariage","EUR","50","0%","0%","High","100","0","0","physical_products","medium"
"cadre photo personnalisé super heros","EUR","50","0%","0%","High","100","0.002414356","0.014096238","physical_products","medium"
"cadre photo portrait de famille","EUR","50","0%","0%","High","100","0","0","physical_products","medium"
"cadre photobooth a personnaliser","EUR","50","0%","0%","High","100","0","0","physical_products","medium"
"cadre photobooth personnalisé anniversaire","EUR","50","-100%","-100%","Unknown","","0","0","gift_anniversary","medium"
"cadre portrait famille personnalisé","EUR","50","0%","0%","High","100","0.004981279","0.012971213","physical_products","medium"
"cadre transparent personnalisé","EUR","50","0%","0%","High","100","0.003217294","0.006151945","physical_products","medium"
"calendrier de l avent personnalisé homme idee","EUR","50","0%","0%","High","83","0","0","physical_products","medium"
"chaussettes photo personnalisées","EUR","500","900%","900%","High","100","0.00417117","0.012766485","physical_products","medium"
"chypre anniversaire de mariage","EUR","50","0%","0%","Low","0","0","0","gift_anniversary","high"
"chypre noce de mariage","EUR","50","0%","0%","Low","6","0","0","life_events","medium"
"coffret grand parents","EUR","50","900%","0%","High","100","0.00248412","0.009935827","gift_grandparents","high"
"coffret pour grand parents","EUR","50","0%","0%","High","100","0.001672054","0.008378199","gift_grandparents","high"
"coque personnalisée photo pas cher","EUR","50","?","?","High","100","0","0","physical_products","medium"
"coussin de noel personnalisé","EUR","50","0%","0%","High","100","0","0","physical_products","medium"
"coussin de noël personnalisé","EUR","50","0%","0%","High","100","0","0","physical_products","medium"
"coussin noel personnalisé","EUR","50","0%","0%","High","100","0.003865382","0.013193871","physical_products","medium"
"creation photo personnalisé","EUR","50","0%","0%","High","100","0.007977219","0.023951217","gift_personalized","high"
"créer son cadre personnalisé","EUR","50","?","0%","High","100","0","0","physical_products","medium"
"créer son cadre photo personnalisé","EUR","50","?","?","High","100","0","0","physical_products","medium"
"cube cadeau photo","EUR","50","0%","0%","High","100","0.002539866","0.013792406","physical_products","medium"
"deco boite anniversaire","EUR","500","-90%","0%","High","93","0","0","gift_anniversary","medium"
"deco noel famille personnalisée","EUR","50","-90%","-90%","High","100","0.002707756","0.008615201","gift_personalized","high"
"deco noel personnalisée famille","EUR","50","0%","0%","High","100","0.00245804","0.008383741","gift_personalized","high"
"des idées de cadeaux pour la fête des mères","EUR","50","0%","-100%","Unknown","","0","0","gift_mothers","high"
"faire un cadeau avec des photos","EUR","50","0%","0%","High","100","0.003221532","0.010822547","gift_other","medium"
"faire un cadeau photo","EUR","50","0%","0%","High","100","0.005400841","0.014692818","gift_personalized","high"
"faire un cadeau pour la fete des meres","EUR","50","0%","0%","High","100","0","0","gift_mothers","high"
"faire un cadeau pour la fête des mères","EUR","50","0%","0%","High","100","0","0","gift_mothers","high"
"faire un porte clé photo","EUR","50","0%","0%","High","95","0","0","physical_products","medium"
"faire un tee shirt avec photo","EUR","50","0%","0%","High","86","0.004971173","0.009143647","physical_products","medium"
"fete des grand mere cadeau original","EUR","50","0%","-100%","Unknown","","0","0","gift_mothers","high"
"fete des grand mere cadeau photo","EUR","50","-100%","-100%","Unknown","","0","0","gift_mothers","high"
"fete des grand mere idee originale","EUR","50","0%","0%","Unknown","","0","0","gift_mothers","high"
"fete des grand mere original","EUR","50","0%","0%","Unknown","","0","0","gift_mothers","high"
"fete des mere original","EUR","50","0%","0%","Unknown","","0","0","gift_mothers","high"
"fete des meres cadeau photo","EUR","50","0%","0%","Unknown","","0","0","gift_mothers","high"
"fete des meres idee originale","EUR","50","0%","0%","Unknown","","0","0","gift_mothers","high"
"fete des meres original","EUR","50","0%","-100%","Unknown","","0","0","gift_mothers","high"
"fete des peres cadeau photo","EUR","50","0%","0%","Unknown","","0","0","gift_fathers","high"
"fete des peres photo cadeau","EUR","50","0%","0%","Unknown","","0","0","gift_fathers","high"
"fête des mères cadeau original","EUR","5000","0%","-90%","High","78","0.001648908","0.005991879","gift_mothers","high"
"fête des mères idée originale","EUR","50","0%","0%","Unknown","","0","0","gift_mothers","high"
"fête des mères original","EUR","50","0%","0%","Unknown","","0","0","gift_mothers","high"
"grand parent cadeau","EUR","50","0%","-90%","High","100","0.001745078","0.004667341","gift_grandparents","high"
"grand parents cadeau","EUR","50","0%","-90%","High","100","0.001745078","0.004667341","gift_grandparents","high"
"gravure cadre photo","EUR","50","900%","0%","High","100","0.005913965","0.0151678","physical_products","medium"
"gravure photo personnalisé","EUR","50","0%","0%","High","100","0.005312821","0.011885633","gift_personalized","high"
"gravure photo sur objet","EUR","50","0%","0%","High","100","0.00278404","0.011463463","physical_products","medium"
"idee activité anniversaire homme","EUR","50","-100%","-100%","Unknown","","0","0","gift_anniversary","high"
"idee anniversaire de mariage","EUR","500","-90%","-90%","High","100","0.001764638","0.003945578","gift_anniversary","high"
"idee anniversaire mariage","EUR","500","0%","0%","High","100","0.002746224","0.006750807","gift_anniversary","high"
"idee cadeau 1 an mariage homme","EUR","50","0%","0%","High","100","0","0","life_events","medium"
"idee cadeau 1er anniversaire de mariage","EUR","50","0%","0%","High","100","0","0","gift_anniversary","high"
"idee cadeau 25e anniversaire de mariage","EUR","50","0%","0%","Unknown","","0","0","gift_anniversary","high"
"idee cadeau 50ème anniversaire de mariage","EUR","50","0%","0%","Unknown","","0","0","gift_anniversary","high"
"idee cadeau anniv mariage","EUR","500","0%","0%","High","100","0.001777678","0.007138747","life_events","medium"
"idee cadeau anniversaire mariage 1 an","EUR","50","0%","0%","High","100","0","0","gift_anniversary","high"
"idee cadeau avec une photo","EUR","500","900%","0%","High","100","0.004099124","0.012562083","gift_personalized","high"
"idee cadeau cadre photo","EUR","50","0%","0%","High","100","0.009124413","0.031785649","physical_products","medium"
"idee cadeau couple grand parents","EUR","50","0%","-90%","High","100","0.001347358","0.005870933","gift_grandparents","high"
"idee cadeau d anniversaire de mariage","EUR","50","0%","0%","High","79","0","0","gift_anniversary","high"
"idee cadeau de mariage 1 an","EUR","500","-90%","0%","High","100","0.001692592","0.004331236","life_events","medium"
"idee cadeau de mariage parents","EUR","50","0%","0%","High","100","0.001107748","0.006331571","life_events","medium"
"idee cadeau fete des mere original","EUR","5000","0%","0%","High","100","0.0008965","0.009054323","gift_mothers","high"
"idee cadeau fete des meres original","EUR","50","0%","0%","Unknown","","0","0","gift_mothers","high"
"idee cadeau fete des meres originale","EUR","5000","0%","0%","High","100","0.0008965","0.009054323","gift_mothers","high"
"idee cadeau fete des meres photo","EUR","50","0%","-100%","Unknown","","0","0","gift_mothers","high"
"idee cadeau fete des peres photo","EUR","50","-100%","-100%","Unknown","","0","0","gift_fathers","high"
"idee cadeau futur grand parent","EUR","50","0%","-90%","High","100","0.001446136","0.005414207","gift_grandparents","high"
"idee cadeau grand parent personnalisé","EUR","50","0%","?","High","100","0","0","gift_grandparents","high"
"idee cadeau homme noce de bois","EUR","50","0%","0%","High","100","0","0","life_events","medium"
"idee cadeau homme noce de coquelicot","EUR","50","0%","0%","Unknown","","0","0","life_events","medium"
"idee cadeau homme noce de froment","EUR","50","?","0%","High","100","0","0","life_events","medium"
"idee cadeau jeune grand parent","EUR","50","0%","0%","High","100","0.001393976","0.005131565","gift_grandparents","high"
"idee cadeau naissance pour grand parents","EUR","50","0%","0%","High","100","0","0","gift_grandparents","high"
"idee cadeau noce acajou","EUR","50","0%","0%","High","100","0","0","life_events","medium"
"idee cadeau noce bois","EUR","50","0%","?","High","100","0","0","life_events","medium"
"idee cadeau noce cire","EUR","50","0%","0%","High","100","0","0","life_events","medium"
"idee cadeau noce coquelicot","EUR","50","0%","0%","High","100","0","0","life_events","medium"
"idee cadeau noce cristal","EUR","50","0%","0%","High","100","0","0","life_events","medium"
"idee cadeau noce cuir","EUR","50","0%","0%","High","100","0","0","life_events","medium"
"idee cadeau noce d emeraude","EUR","50","0%","0%","High","100","0.001335296","0.003254458","life_events","medium"
"idee cadeau noce de corail","EUR","50","0%","0%","High","100","0","0","life_events","medium"
"idee cadeau noce de coton femme","EUR","50","0%","?","High","100","0","0","life_events","medium"
"idee cadeau noce de cuir homme","EUR","50","0%","0%","High","100","0.00143929","0.006180307","life_events","medium"
"idee cadeau noce de faience","EUR","50","0%","0%","High","100","0.00135453","0.003076788","life_events","medium"
"idee cadeau noce de muguet","EUR","50","0%","0%","High","100","0","0","life_events","medium"
"idee cadeau noce de perle","EUR","50","0%","0%","High","100","0.001353226","0.008625307","life_events","medium"
"idee cadeau noce de plomb","EUR","50","0%","0%","High","100","0","0","life_events","medium"
"idee cadeau noce de porcelaine","EUR","50","0%","0%","High","100","0","0","life_events","medium"
"idee cadeau noce de satin","EUR","50","0%","0%","High","100","0","0","life_events","medium"
"idee cadeau noce de soie","EUR","50","0%","0%","High","100","0","0","life_events","medium"
"idee cadeau noce de turquoise","EUR","50","-100%","0%","Unknown","","0","0","life_events","medium"
"idee cadeau noce emeraude","EUR","50","0%","0%","High","100","0","0","life_events","medium"
"idee cadeau noce etain","EUR","500","0%","0%","High","100","0.001247602","0.003132534","life_events","medium"
"idee cadeau noce faience","EUR","50","0%","0%","High","100","0","0","life_events","medium"
"idee cadeau noce froment","EUR","50","0%","0%","High","100","0.0018093","0.004908255","life_events","medium"
"idee cadeau noce porcelaine","EUR","50","0%","0%","High","100","0","0","life_events","medium"
"idee cadeau noces coton","EUR","50","0%","0%","High","100","0","0","gift_anniversary","high"
"idee cadeau noces de cire","EUR","50","0%","0%","High","100","0.001585012","0.004265058","gift_anniversary","high"
"idee cadeau noces de cristal","EUR","50","0%","0%","High","100","0","0","gift_anniversary","high"
"idee cadeau noces de laine","EUR","50","0%","0%","High","100","0","0","gift_anniversary","high"
"idee cadeau noel papi mamie","EUR","50","0%","0%","High","100","0.00197067","0.007852361","gift_grandparents","high"
"idee cadeau noel papy mamie","EUR","50","900%","0%","High","100","0.00151101","0.005422357","gift_grandparents","high"
"idee cadeau noel personnalisable","EUR","500","0%","0%","High","100","0.002963666","0.009947563","gift_personalized","high"
"idee cadeau noel pour grand parent","EUR","500","900%","0%","High","100","0.001373112","0.005079731","gift_grandparents","high"
"idee cadeau original fete des grand mere","EUR","50","-100%","-100%","Unknown","","0","0","gift_mothers","high"
"idee cadeau original fete des mere","EUR","50","0%","0%","Unknown","","0","0","gift_mothers","high"
"idee cadeau original grand parent","EUR","50","0%","0%","High","100","0.001412232","0.005068321","gift_grandparents","high"
"idee cadeau papi mamie","EUR","500","900%","0%","High","100","0.001426576","0.004921621","gift_grandparents","high"
"idee cadeau papy et mamie","EUR","500","900%","0%","High","100","0.001576536","0.004820235","gift_grandparents","high"
"idee cadeau parents âgées","EUR","50","0%","0%","High","100","0.00059332","0.003834086","gift_other","medium"
"idee cadeau personnalisé noel","EUR","50","0%","0%","High","100","0.00341159","0.011082695","gift_personalized","high"
"idee cadeau photo com","EUR","50","?","0%","High","100","0.007018453","0.023084709","gift_personalized","high"
"idee cadeau photo fete des peres","EUR","50","-100%","-100%","Unknown","","0","0","gift_fathers","high"
"idee cadeau photo noel","EUR","50","900%","0%","High","100","0.005132217","0.014332588","gift_personalized","high"
"idee cadeau photo souvenir","EUR","50","0%","-90%","High","100","0.004647129","0.012722801","gift_personalized","high"
"idee cadeau pour 1 an de mariage","EUR","500","-90%","0%","High","100","0.001692592","0.004331236","life_events","medium"
"idee cadeau pour anniversaire mariage","EUR","500","0%","0%","High","100","0.001777678","0.007138747","gift_anniversary","high"
"idee cadeau pour fete des mere","EUR","50000","0%","0%","High","99","0.00231623","0.011006737","gift_mothers","high"
"idee cadeau pour grand parents","EUR","500","900%","0%","High","100","0.001103836","0.00453466","gift_grandparents","high"
"idee cadeau pour la fete des mamie","EUR","50","-100%","0%","Unknown","","0","0","gift_grandparents","high"
"idee cadeau pour la fete des meres","EUR","50","-100%","-100%","Unknown","","0","0","gift_mothers","high"
"idee cadeau pour noce d etain","EUR","50","0%","0%","Unknown","","0","0","life_events","medium"
"idee cadeau pour noce d or","EUR","50","0%","0%","High","100","0","0","life_events","medium"
"idee cadeau pour noce de bois","EUR","50","-100%","0%","Unknown","","0","0","life_events","medium"
"idee cadeau pour noces de diamant","EUR","50","0%","0%","High","86","0.001088188","0.043770385","gift_anniversary","high"
"idee cadeau pour papi et mamie","EUR","50","0%","0%","High","98","0.001379306","0.00431787","gift_grandparents","high"
"idee cadeau premier anniversaire mariage","EUR","50","0%","0%","High","100","0","0","gift_anniversary","high"
"idee cadeaux noel personnalisé","EUR","500","0%","0%","High","100","0.002963666","0.009947563","gift_personalized","high"
"idee cadeaux personnalisés noel","EUR","50","0%","0%","High","100","0.00341159","0.011082695","gift_personalized","high"
"idee calendrier de l avent personnalisé femme","EUR","50","0%","0%","High","98","0","0","physical_products","medium"
"idee de cadeau anniversaire de mariage","EUR","5000","0%","0%","High","100","0.00152405","0.006206387","gift_anniversary","high"
"idee de cadeau anniversaire mariage","EUR","5000","0%","0%","High","100","0.00152405","0.006206387","gift_anniversary","high"
"idee de cadeau avec des photos","EUR","50","0%","-90%","High","100","0.004407194","0.012897211","gift_other","medium"
"idee de cadeau d anniversaire de mariage pour homme","EUR","50","0%","0%","High","75","0","0","gift_anniversary","high"
"idee de cadeau pour anniversaire de mariage","EUR","5000","0%","0%","High","100","0.00152405","0.006206387","gift_anniversary","high"
"idee de cadeau pour fete des grand mere","EUR","500","0%","0%","High","100","0","0","gift_mothers","high"
"idee de cadeau pour fete des mere","EUR","5000","0%","-90%","High","81","0","0","gift_mothers","high"
"idee de cadeau pour fete des meres","EUR","5000","-90%","-90%","High","94","0","0","gift_mothers","high"
"idee de cadeau pour la fete des grand mere","EUR","50","?","?","High","79","0","0","gift_mothers","high"
"idee de cadeau pour la fête des mères","EUR","5000","-90%","-90%","High","94","0","0","gift_mothers","high"
"idee de cadeau pour ma maman","EUR","50","900%","0%","High","98","0.001593162","0.006145751","gift_mothers","high"
"idee de cadeaux pour fete des meres","EUR","5000","-90%","-90%","High","94","0","0","gift_mothers","high"
"idee de cadeaux pour grand parents","EUR","500","0%","-90%","High","100","0.00125673","0.004571823","gift_grandparents","high"
"idee de cadeaux pour la fete des meres","EUR","5000","-90%","-90%","High","94","0","0","gift_mothers","high"
"idee de personnalisation de coque","EUR","50","0%","0%","Medium","34","0","0","physical_products","medium"
"idee deco boite anniversaire","EUR","50","0%","0%","Medium","49","0","0","gift_anniversary","high"
"idee fete des meres originale","EUR","50","-100%","0%","Unknown","","0","0","gift_mothers","high"
"idee grand parents","EUR","50","0%","-90%","High","100","0.001390716","0.004843707","gift_grandparents","high"
"idee noce de bois","EUR","50","0%","0%","High","100","0","0","life_events","medium"
"idee noce de cire","EUR","50","0%","0%","High","100","0.001778004","0.003471248","life_events","medium"
"idee noce de coton","EUR","50","0%","0%","High","100","0.001540676","0.006988787","life_events","medium"
"idee noce de cuir","EUR","50","0%","0%","High","100","0","0","life_events","medium"
"idee noce de froment","EUR","50","0%","?","High","100","0","0","life_events","medium"
"idee noces de bois","EUR","50","0%","0%","High","100","0","0","gift_anniversary","high"
"idee noel parents","EUR","50","0%","0%","High","100","0.001778004","0.008637369","gift_other","medium"
"idee original fete des grand mere","EUR","50","0%","0%","Unknown","","0","0","gift_mothers","high"
"idee original fete des mere","EUR","50","0%","0%","Unknown","","0","0","gift_mothers","high"
"idee originale anniversaire femme","EUR","50","0%","0%","High","100","0","0","gift_anniversary","high"
"idee pour anniversaire de mariage","EUR","500","-90%","-90%","High","100","0.001764638","0.003945578","gift_anniversary","high"
"idee surprise anniversaire de mariage","EUR","50","0%","0%","High","100","0","0","gift_anniversary","high"
"idee surprise fete des meres","EUR","50","0%","0%","Unknown","","0","0","gift_mothers","high"
"ideecadeauphoto com","EUR","50","?","0%","High","100","0.008861331","0.026194749","gift_other","medium"
"idees cadeaux anniversaire mariage","EUR","500","0%","0%","High","100","0.001777678","0.007138747","gift_anniversary","high"
"idees cadeaux noces d or","EUR","50","0%","?","High","100","0.00143929","0.005827575","gift_anniversary","high"
"idees cadeaux noces de bois","EUR","50","0%","0%","High","100","0","0","gift_anniversary","high"
"idees cadeaux papi mamie","EUR","500","900%","0%","High","100","0.001426576","0.004921621","gift_grandparents","high"
"idees cadeaux pour la fete des meres","EUR","50","-100%","0%","Unknown","","0","0","gift_mothers","high"
"idees cadeaux pour sa mere","EUR","500","900%","0%","High","100","0.001916554","0.008296373","gift_mothers","high"
"idees de cadeau pour la fete des meres","EUR","5000","-90%","-90%","High","94","0","0","gift_mothers","high"
"idée cadeau 25ème anniversaire de mariage","EUR","50","0%","0%","Unknown","","0","0","gift_anniversary","high"
"idée cadeau 30e anniversaire de mariage","EUR","50","0%","0%","Unknown","","0","0","gift_anniversary","high"
"idée cadeau a partir d une photo","EUR","50","0%","0%","High","93","0.003764322","0.008328647","gift_personalized","high"
"idée cadeau anniversaire de mariage 1 an","EUR","50","0%","0%","High","100","0","0","gift_anniversary","high"
"idée cadeau anniversaire de mariage femme","EUR","50","0%","0%","High","100","0","0","gift_anniversary","high"
"idée cadeau anniversaire de mariage original","EUR","50","0%","0%","High","100","0","0","gift_anniversary","high"
"idée cadeau anniversaire de mariage pour femme","EUR","50","0%","0%","High","100","0","0","gift_anniversary","high"
"idée cadeau anniversaire de mariage pour homme","EUR","50","0%","0%","High","100","0.001180772","0.003875814","gift_anniversary","high"
"idée cadeau anniversaire mariage pour homme","EUR","500","-90%","-90%","High","100","0.00135453","0.004922925","gift_anniversary","high"
"idée cadeau femme anniversaire mariage","EUR","50","0%","0%","High","100","0","0","gift_anniversary","high"
"idée cadeau fête des pères avec photo","EUR","50","0%","0%","Unknown","","0","0","gift_fathers","high"
"idée cadeau grand parent fait main noel","EUR","50","0%","-90%","High","93","0","0","gift_grandparents","high"
"idée cadeau grands parents noel","EUR","500","900%","0%","High","100","0.00139365","0.005268159","gift_grandparents","high"
"idée cadeau homme 1 an de mariage","EUR","50","0%","-100%","Unknown","","0","0","life_events","medium"
"idée cadeau homme anniversaire de mariage","EUR","50","0%","0%","High","100","0.002509222","0.004772965","gift_anniversary","high"
"idée cadeau homme noce de coton","EUR","50","0%","0%","High","100","0","0","life_events","medium"
"idée cadeau mariage noce de froment","EUR","50","0%","0%","High","100","0","0","life_events","medium"
"idée cadeau noce chypre","EUR","50","0%","?","High","100","0","0","life_events","medium"
"idée cadeau noce corail","EUR","50","-100%","-100%","Unknown","","0","0","life_events","medium"
"idée cadeau noce coton homme","EUR","50","?","?","High","100","0","0","life_events","medium"
"idée cadeau noce de bronze","EUR","50","-100%","-100%","Unknown","","0","0","life_events","medium"
"idée cadeau noce de chypre","EUR","500","0%","0%","High","100","0.00152405","0.005397907","life_events","medium"
"idée cadeau noce de cire homme","EUR","50","0%","?","High","100","0","0","life_events","medium"
"idée cadeau noce de coquelicot homme","EUR","50","0%","0%","High","100","0","0","life_events","medium"
"idée cadeau noce de cristal","EUR","50","0%","0%","High","67","0","0","life_events","medium"
"idée cadeau noce de cristal homme","EUR","50","?","0%","High","100","0","0","life_events","medium"
"idée cadeau noce de cuir femme","EUR","50","0%","0%","High","100","0","0","life_events","medium"
"idée cadeau noce de diamant","EUR","50","0%","0%","High","86","0.001088188","0.043770385","life_events","medium"
"idée cadeau noce de froment homme","EUR","50","0%","0%","High","100","0","0","life_events","medium"
"idée cadeau noce de saphir","EUR","50","0%","0%","Unknown","","0","0","life_events","medium"
"idée cadeau noces de chypre","EUR","50","0%","0%","High","100","0","0","gift_anniversary","high"
"idée cadeau noces de coquelicot","EUR","50","0%","0%","High","100","0","0","gift_anniversary","high"
"idée cadeau noces de diamant","EUR","50","0%","0%","High","100","0","0","gift_anniversary","high"
"idée cadeau noces de faience","EUR","50","0%","0%","High","100","0","0","gift_anniversary","high"
"idée cadeau noces de laine","EUR","50","0%","0%","High","100","0","0","gift_anniversary","high"
"idée cadeau noces de plomb","EUR","50","0%","0%","High","100","0","0","gift_anniversary","high"
"idée cadeau noces de porcelaine","EUR","50","0%","0%","High","100","0","0","gift_anniversary","high"
"idée cadeau noel grand parent","EUR","500","900%","0%","High","100","0.001373112","0.005079731","gift_grandparents","high"
"idée cadeau noel homme personnalisé","EUR","50","0%","0%","High","100","0.002317534","0.005963843","gift_personalized","high"
"idée cadeau original fête des mères","EUR","50","-100%","-100%","Unknown","","0","0","gift_mothers","high"
"idée cadeau original noce de coton","EUR","50","0%","0%","Unknown","","0","0","life_events","medium"
"idée cadeau original pour maman","EUR","500","900%","0%","High","100","0.001888518","0.006665721","gift_mothers","high"
"idée cadeau papy et mamie","EUR","500","900%","0%","High","100","0.001576536","0.004820235","gift_grandparents","high"
"idée cadeau personnalisé grand parents","EUR","50","?","0%","High","100","0.002624626","0.018803026","gift_grandparents","high"
"idée cadeau personnalisé photo","EUR","500","0%","0%","High","100","0.004385026","0.011655151","gift_personalized","high"
"idée cadeau pour anniversaire de mariage des parents","EUR","50","0%","0%","High","100","0","0","gift_anniversary","high"
"idée cadeau pour des grands parents","EUR","50","900%","900%","High","100","0.001147194","0.004112816","gift_grandparents","high"
"idée cadeau pour futur grand parents","EUR","50","0%","-90%","High","100","0.001446136","0.005414207","gift_grandparents","high"
"idée cadeau pour fête des grand mères","EUR","50","0%","0%","Unknown","","0","0","gift_mothers","high"
